Title,Permalink,Stock,"Regular Price","Sale Price","Image URL"
"5HTP 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/5htp/,26.000000,1724.44,1379.55,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-5htp-desktop_2x_89020100-4bda-4da2-930b-1b9e59e98105.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-5htp-desktop_2x_8b54ba8b-551b-4906-b923-16a4310b943b.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-5htp-desktop_2x_c10707e9-db2c-47ab-b350-67d344ad0593.png
"Arándano Negro 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/arandano-negro-150-capsulas-500mg-adaptoheal/,189.000000,653.29,522.63,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-arandano-negro-desktop_2x_431c463a-f694-4f2a-a964-97934c22f11c.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-arandano-negro-desktop_2x_1bc155e1-86c2-4492-9c10-1c58e91e438c.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-arandano-negro-desktop_2x_47182d6d-7022-447d-a966-168c5f5738d7.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-single-mexico-capsulas-arandano-negro-plantas-adaptogenicas-desktop_2x_7902379d-c7fa-4107-a050-de4063751c3c.png
"Ashwagandha 150 cápsulas | 500mg AdaptoBalance®",https://www.adaptohealmx.com/producto/ashwagandha-150-capsulas-500mg-adaptoheal/,568.000000,575.78,460.62,https://www.adaptohealmx.com/wp-content/uploads/2025/05/ASH-FRONT.webp|https://www.adaptohealmx.com/wp-content/uploads/2025/05/ASH-BACK.webp|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-single-mexico-capsulas-ashwagandha-plantas-adaptogenicas-desktop_2x_90590580-9c50-40ff-afce-9c4ed1a10d5e.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-ashwagandha-desktop_2x_2508e182-6731-4130-8b48-41caea190154.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-ashwagandha-desktop_2x_536c7014-31d7-4ae5-904e-e0c75799d914.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-ashwagandha-desktop_2x_274c2f83-bd79-4de1-982f-1f85f43677d9.png
"Astrágalus 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/astragalus-150-capsulas-500mg-adaptoheal/,605.000000,682.57,546.06,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-astragalus-desktop_2x_9ea87636-3345-4b34-b868-7f5c207eaf76.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-astragalus-desktop_2x_a1ef543d-990e-4616-8d7f-60602ded7546.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-astragalus-desktop_2x_6f78f9b8-9b52-4d9e-b79f-cb82679220b2.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-single-mexico-capsulas-astragalus-plantas-adaptogenicas-desktop_2x_a9595773-1322-415b-b3ba-e2b6fc6de4fa.png
"ATI 90 cápsulas | Adaptoheal®",https://www.adaptohealmx.com/producto/ati-90-capsulas-500mg-adaptoheal/,113,437.74,350.19,https://www.adaptohealmx.com/wp-content/uploads/2025/05/ATI.webp|https://www.adaptohealmx.com/wp-content/uploads/2025/05/ATI_Infografias_pag_web-01_70908dbd-dd5b-4209-aeb7-c162f401755b-scaled.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/WhatsApp_Image_2025-01-06_at_10.43.48_AM.jpg|https://www.adaptohealmx.com/wp-content/uploads/2025/05/ATI_Infografias_pag_web-03-scaled.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/WhatsAppImage2024-11-11at2.24.36PM_1.jpg
"Bio Intes 200 Billones 60 cápsulas | 840mg Adaptoheal®",https://www.adaptohealmx.com/?post_type=product&p=225,0.000000,1392.95,,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-probioticos-bio-intes-desktop_2x_593b1352-733d-4d0f-a71e-4d124516cba2.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-prebioticos-bio-intes-desktop_2x_b8128055-3876-4bbf-a0b9-0491f3f40690.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-bio-intes-desktop_2x_8fa06e4b-57d6-46fd-88b0-d2a1fd40a674.png
"Cardo Mariano 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/cardo-mariano-150-capsulas-500mg-adaptoheal/,264.000000,676.13,540.9,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-desktop_2x_623871f2-df8c-42c0-a2ec-c60079b0681e.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-cardo-mariano-desktop_2x_49f769ac-6057-44d0-a1a9-06cce30f77aa.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-cardo-mariano-desktop_2x_f6fd8436-55c7-4132-868f-78f87eed1dec.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-single-mexico-capsulas-cardo-mariano-plantas-adaptogenicas-desktop_2x_2870f6d8-73d4-4b50-9305-b48c9e2e6cd8.png
"Cartílago de Tiburón 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/cartilago-de-tiburon-150-capsulas-500mg-adaptoheal/,0.000000,565.94,,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-cartilago-de-tiburon-desktop_2x_de0bf198-582d-45ac-aee1-e31e5efa94e1.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-cartilago-de-tiburon-desktop_2x_efb1f1cf-99a3-48e9-90b9-670a876e318d.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-cartilago-de-tiburon-desktop_2x_0c6ff737-0ebf-499d-86cf-14cb843ccbf1.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-single-mexico-capsulas-cartilago-de-tiburon-plantas-adaptogenicas-desktop_2x_4c9561c2-e55e-4edf-b9fd-5e3bb241ab5c.png
"Castaño de Indias 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/castano-de-indias-150-capsulas-500mg-adaptoheal/,188.000000,787.39,629.91,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-castano-de-indias-desktop_2x_abcc33c2-e0f0-4830-8d7c-e3ca4aed93b0.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-castano-de-indias-desktop_2x_56a30ebd-6332-4f1b-9fd4-efd32b60cdce.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-castano-de-indias-desktop_2x_32397569-4a1f-4749-a3ee-1180534f3ec7.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-single-mexico-capsulas-castano-de-indias-plantas-adaptogenicas-desktop_2x_dabf4705-6063-4cb4-9473-b295fe92c2af.png
"CCM 90 cápsulas | Adaptoheal®",https://www.adaptohealmx.com/producto/ccm-90-capsulas-500mg-adaptoheal/,107,895.17,716.14,https://www.adaptohealmx.com/wp-content/uploads/2025/05/CCM.webp|https://www.adaptohealmx.com/wp-content/uploads/2025/05/CCM_Infografias_pag_web-04-scaled.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/CCM_Infografias_pag_web-05_1-scaled.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/CCM_Infografias_pag_web-06-scaled.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/WhatsAppImage2024-11-11at2.24.36PM_2.jpg
"Chitosan Extracto 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/chitosan-extracto-150-capsulas-500mg-adaptoheal/,383.000000,1244.18,995.34,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-chitosan-desktop_2x_da884046-6df6-4b39-8c2c-9ce746e11043.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-chitosan-desktop_2x_3564e886-d36d-42ee-b005-3677504fc8e8.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-chitosan-desktop_2x_e9ab98ea-dbc5-40e3-941d-941fa6c33cd0.png
"Citrato de Magnesio 150 cápsulas | 500mg Adaptoheal®",https://www.adaptohealmx.com/producto/citrato-de-magnesio-150-capsulas-500mg-adaptoheal/,184,741.63,593.3,https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-suplemento-alimenticio-citrato-de-magnesio-desktop_2x_9ac117a0-056f-4ea1-9693-c5bf00ea2766.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-citrato-de-magnesio-desktop_2x_4d94acc0-a51f-4be4-b313-3fae69f70ab7.png|https://www.adaptohealmx.com/wp-content/uploads/2025/05/adaptoheal-mexico-productos-capsulas-nutritivas-citrato-de-magnesio-desktop_2x_bacc3035-966b-4649-8dab-1abea4a0c7be.png
